name,address,lat,lon,type,program
Monmouth Academy,"96 Academy Road,Monmouth,Maine 04259",44.2505821,-70.03703585,High School,"Art History,Biology,Biology,Calculus AB,Calculus BC,Calculus BC,Computer Science A,Computer Science A,Computer Science Principles,English Literature and Composition,Environmental Science,Environmental Science,European History,European History,Human Geography,Macroeconomics,Macroeconomics,Microeconomics,Music Theory,Physics 1,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History"
Morrison Center - Scarborough,"60 Chamberlain Rd.,Scarborough,Maine 04074",43.5889842,-70.3083587,High School,
Morrison Center - Wells,"60 Chamberlain Rd.,Scarborough,Maine 04074",43.5889842,-70.3083587,High School,
Morse High School,"826 Shipbuilder Drive,Bath,Maine 04530",43.9170012,-69.8369009,High School,"Art History,Biology,Calculus AB,Chemistry,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,Human Geography,Music Theory,Physics 1,Physics B,Precalculus,Research,Seminar,Statistics,United States History,World History: Modern"
Mountain Valley High School,"799 Hancock Street,Rumford,Maine 04276",44.5640871,-70.55946947,High School,"Biology,Calculus AB,Calculus BC,Computer Science Principles,English Language and Composition,English Literature and Composition,European History,Human Geography,Physics 1,Physics B,Precalculus,Spanish Language and Culture,United States History"
Mt Abram Regional High School,"1513 Salem Road,Salem,Maine 04983",44.90504645,-70.27118129,High School,"Biology,Biology,Biology,Calculus AB,Chemistry,Computer Science A,English Language and Composition,English Language and Composition,English Literature and Composition,Environmental Science,European History,European History,European History,Macroeconomics,Psychology,Statistics,U.S. Government and Politics,United States History"
Mt Ararat High School,"68 Eagles Way,Topsham,Maine 04086",43.9353225,-69.9666145,High School,"2-D Art and Design,3-D Art and Design,Biology,Biology,Calculus AB,Calculus BC,Calculus BC,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,European History,Human Geography,Music Theory,Psychology,Psychology,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History"
Mt Blue High School,"129 Seamon Rd,Farmington,Maine 04938",44.6383957,-70.1318188,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Calculus AB,Calculus AB,Calculus AB,Calculus BC,Computer Science A,Computer Science Principles,Drawing,English Language and Composition,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,English Literature and Composition,European History,French Language and Culture,French Literature,German Language and Culture,Macroeconomics,Macroeconomics,Microeconomics,Microeconomics,Physics 1,Physics 1,Physics B,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History,United States History,United States History"
Mt Desert Island High School,"PO Box 180,Mount Desert,Maine 04660",44.3486501,-68.3435443,High School,"2-D Art and Design,Biology,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,French Language and Culture,Human Geography,Macroeconomics,Music Theory,Physics 1,Physics B,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Mt View High School,"577 Mount View Road,Thorndike,Maine 04986",44.5510665,-69.2700737,High School,"Biology,Calculus AB,Calculus AB,Calculus BC,Calculus BC,Chemistry,Chemistry,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,Macroeconomics,Physics 1,Physics B,Psychology,Psychology,Statistics,U.S. Government and Politics,United States History,United States History,World History: Modern,World History: Modern"
Narraguagus High School,"1611 Main Street,Harrington,Maine 04643",44.61590939,-67.85193363,High School,"English Language and Composition,English Literature and Composition,Statistics,United States History"
NFI Buxton-Beacon House,"PO Box 346,Buxton,Maine 04093",43.638063,-70.51918,High School,
NFI Sidney Riverbend School,"3895 West River Road,Sidney,Maine 04330",44.4959857,-69.6820793,High School,
NFI-Stetson Ranch School,"160 Lapoint Road,Stetson,Maine 04488",44.878006,-69.09493076,High School,
"Region 3,Northern Penobscot Technical Center","35 West Broadway,Lincoln,Maine 04457",45.3630681,-68.5082802,CTE,"Automotive Technology,Business Management,Construction Technology,Culinary Arts,Digital Communication & Graphic Design,Early Childhood Development,EMT/Firefight 1 & 2,Law Enforcement,Medical Administration Specialist,Registered Medical Assitant,Sophomore CTE Exploratory,Welding"
Noble High School,"100 Noble Way,North Berwick,Maine 03906",43.30470975,-70.77867174,High School,"Biology,Calculus AB,Calculus AB,Calculus BC,Calculus BC,Chemistry,Computer Science A,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,Environmental Science,European History,European History,French Language and Culture,French Literature,Human Geography,Latin,Macroeconomics,Music Theory,Music Theory,Physics 1,Physics C: Mechanics,Psychology,Psychology,Spanish Language and Culture,Spanish Language and Culture,Statistics,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,World History: Modern"
Nokomis Regional High School,"291 Williams Road,Suite 2,Newport,Maine 04953",44.8353424,-69.2739365,High School,"Art History,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,English Language and Composition,English Literature and Composition,English Literature and Composition,European History,French Language and Culture,Human Geography,Latin,Latin,Seminar,Spanish Language and Culture,Statistics,Statistics,United States History,World History: Modern"
Non-Maine Public School,"23 State House Station,Augusta,Maine 04330",44.3169922,-69.7734278,High School,
North Haven Community School,"93 Pulpit Harbor Road,North Haven,Maine 04853",44.1508421,-68.87551853,High School,"English Literature and Composition,English Literature and Composition,United States History"
North Yarmouth Academy,"148 Main Street,Yarmouth,Maine 04096",43.7990714,-70.18480971,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Latin,Latin Literature,Music Theory,Psychology,Spanish Language and Culture,Statistics,United States History"
Oak Hill High School,"PO Box 400,Wales,Maine 04280",44.1727243,-70.0521756,High School,"Biology,Biology,Calculus AB,Calculus AB,Calculus AB,Calculus AB,Calculus BC,Calculus BC,Chemistry,Chemistry,Computer Science A,Computer Science A,English Language and Composition,English Literature and Composition,European History,Human Geography,Human Geography,Macroeconomics,Microeconomics,Physics 1,Physics B,Psychology,Psychology,Statistics,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Oceanside High School,"400 Broadway,Rockland,Maine 04841",44.116398,-69.1146982,High School,"2-D Art and Design,3-D Art and Design,Art History,Art History,Biology,Biology,Calculus AB,Calculus BC,Calculus BC,Chemistry,Computer Science A,Computer Science A,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,Environmental Science,Environmental Science,European History,French Language and Culture,Macroeconomics,Physics 1,Physics 1,Physics B,Precalculus,Psychology,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Old Orchard Beach High School,"40 E Emerson Cummings Blvd,Old Orchard Beach,Maine 04064",43.5175331,-70.39616808,High School,"Biology,Chemistry,Computer Science A,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,European History,Macroeconomics,Psychology,Statistics,United States History,World History: Modern"
Old Town High School,"203 Stillwater Avenue,Old Town,Maine 04468",44.9351067,-68.6573416,High School,"2-D Art and Design,3-D Art and Design,Art History,Art History,Biology,Calculus AB,Calculus AB,Calculus BC,Calculus BC,Chemistry,Chemistry,Computer Science A,Computer Science A,Computer Science A,Computer Science A,Computer Science Principles,Drawing,English Language and Composition,English Language and Composition,English Literature and Composition,Environmental Science,European History,European History,French Language and Culture,Macroeconomics,Macroeconomics,Microeconomics,Music Theory,Physics 1,Physics B,Psychology,Psychology,Psychology,Spanish Language and Culture,Statistics,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,World History: Modern,World History: Modern,World History: Modern"
Opportunity Training Center,"PO Box 1245,Presque Isle,Maine 04769",46.6812216,-68.0154578,High School,
Orono High School,"14 Goodridge Drive,Orono,Maine 04473",44.8823889,-68.6774732,High School,"2-D Art and Design,Biology,Biology,Calculus AB,Calculus AB,Calculus BC,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,Environmental Science,Human Geography,Microeconomics,Music Theory,Music Theory,Physics 1,Physics C: Mechanics,Precalculus,Psychology,Research,Seminar,Spanish Literature and Culture,Statistics,U.S. Government and Politics,U.S. Government and Politics,U.S. Government and Politics,United States History,World History: Modern,World History: Modern"
Overman Academy,"48 South Factory Street,Skowhegan,Maine 04976",44.7594992,-69.7092487,High School,
Oxford Hills Comprehensive H S,"256 Main Street,Paris,Maine 04271",44.2109796,-70.52757398,High School,"Biology,Calculus AB,Calculus BC,Chemistry,Computer Science Principles,English Language and Composition,English Language and Composition,English Literature and Composition,European History,French Language and Culture,Latin,Physics 1,Psychology,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,United States History,World History: Modern"
"Region 11,Oxford Hills Technical High School","PO Box 313,Norway,Maine 04268",44.214202,-70.545273,CTE,"Advanced Communications,Allied Health,Auto Collision Repair,Automotive Technology,Building Construction Technology,Business Studies,Computer Technology,Culinary Arts,Diversified Occupations,Early Childhood Education,Engineering & Architectural Design,Fashion Design,Forestry & Heavy Equipment Operations,Graphic Design,Hospitality Tourism & Recreation Management,Tech English,Law Enforcment,Marketing Management,Plumbing Technology,Pre-Engineering"
Pathways Merrymeeting Center,"16 Burbank Avenue,Brunswick,Maine 04011",43.89684545,-69.9255231,High School,
Penobscot Job Corps School,"1375 Union St,Bangor,Maine 04401",44.82407,-68.8219809,High School,
Penobscot Valley High School,"23 Cross Street,Howland,Maine 04448",45.2473015,-68.6622832,High School,"Biology,Biology,Calculus AB,Calculus AB,Computer Science Principles,English Language and Composition,English Literature and Composition,European History,U.S. Government and Politics,United States History,United States History"
Penquis Valley Middle/High School,"48 Penquis Drive,Milo,Maine 04463",45.2515517,-68.99604991,High School,"Biology,Calculus AB,Calculus AB,Chemistry,Computer Science A,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,Macroeconomics,Microeconomics,Music Theory,Physics 1,Psychology,Spanish Language and Culture,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,World History: Modern"
Piscataquis Community Secondary School,"9 Campus Drive,Guilford,Maine 04443",45.1721098,-69.37829175,High School,"2-D Art and Design,Biology,Calculus AB,Chemistry,English Language and Composition,English Literature and Composition,Physics 1,Physics B,Statistics,United States History"
Poland Regional H S,"1457 Maine Street,Poland,Maine 04274",44.0705257,-70.4140351,High School,"Art History,Art History,Biology,Calculus AB,Calculus AB,Calculus BC,Calculus BC,Chemistry,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Language and Composition,English Literature and Composition,Environmental Science,Environmental Science,Environmental Science,Macroeconomics,Music Theory,Physics 1,Psychology,Spanish Language and Culture,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History,United States History,United States History,World History: Modern,World History: Modern"
Portland Arts & Technology High School,"196 Allen AV,Portland,Maine 04103",43.6973836,-70.294353,CTE,"Automotive Collision,Automotive Technology,Biomedical & Health Science,Careers in Education,Carpentry,Commercial & Advertising Art,Culinary Arts,Cybersecurity,Dance,Food Service,Horticulture,Marine Service,Masonry,Music,New Media,Plumbing & HVAC,Welding "
Portland High School,"284 Cumberland AV,Portland,Maine 04101",43.65898225,-70.25884384,High School,"2-D Art and Design,3-D Art and Design,Art History,Art History,Biology,Biology,Calculus AB,Calculus BC,Chemistry,Chemistry,Computer Science A,Computer Science A,Computer Science Principles,Drawing,Drawing,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,European History,French Language and Culture,French Language and Culture,Latin,Latin Literature,Macroeconomics,Macroeconomics,Microeconomics,Music Theory,Physics 1,Psychology,Psychology,Spanish Language and Culture,Spanish Language and Culture,Spanish Language and Culture,Statistics,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,World History: Modern,World History: Modern"
Presque Isle High School,"16 Griffin Street,Presque Isle,Maine 04769",46.6851716,-68.00477666,High School,"Biology,Calculus AB,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,European History,Physics 1,Psychology,U.S. Government and Politics,United States History"
Presque Isle Regional Career and Technical Center,"79 Blake St Ste 3,Presque Isle,Maine 04769",46.6812216,-68.0154578,CTE,"AgriScience,Building Trades,Business Technology,Cosmetology,Engineering Technology,Early Childhood Education,Industrial & Farm Mechanics"
Rangeley Lakes Regional School,"43 Mendolia Road,Rangeley,Maine 04970",44.9732878,-70.6529528,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Chemistry,Drawing,English Language and Composition,English Literature and Composition,European History,Music Theory,Physics B,Precalculus,Psychology,Seminar,U.S. Government and Politics,United States History,United States History"
"Region 9,School of Applied Technology","377 River Road,Mexico,Maine 04257",44.5357249,-70.50672845,CTE,"Automotive Technology,Building Construction,CNA,Computer Technology,Truck Driving,Culinary Arts,Early Childhood Education,Fire Science,Heavy Equipment,Metal Trades/Welding,Outdoor Skills"
"Region 2,Southern Aroostook County","PO Box 307,Houlton,Maine 04730",46.1251286,-67.8407944,CTE,"Auto Collision Program,Automotive Technology Program,Bridge Academy Program,Culinary Arts Program,Early Childhood Education Program,EMT,Forestry/Natural Resources Program,Health Science CNA,Intro to Medical Professions Program,Law Enforcement Program,Mechanical Systems Technician,Residential Electrical Program,Welding "
Richmond High School,"132 Main Street,Richmond,Maine 04357",44.0875119,-69.8124225,High School,"Biology,Calculus AB,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,European History,Macroeconomics,Music Theory,Statistics,U.S. Government and Politics,United States History"
Robert W Traip Academy,"12 Williams Avenue,Kittery,Maine 03904",43.08711605,-70.73976894,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Calculus AB,Calculus BC,Calculus BC,Calculus BC,Computer Science A,Computer Science Principles,Drawing,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,European History,European History,Macroeconomics,Microeconomics,Microeconomics,Physics 1,Physics 2,Precalculus,Psychology,Spanish Language and Culture,Statistics,Statistics,Statistics,Statistics,U.S. Government and Politics,United States History,United States History,United States History"
Sacopee Valley High Sch,"115 South Hiram Road,Hiram,Maine 04041",43.81069675,-70.86978113,High School,"Biology,Chemistry,Computer Science Principles,English Language and Composition,English Literature and Composition,European History,French Language and Culture,Latin,Physics C: Mechanics,Spanish Language and Culture,United States History"
Sanford High School,"100 Alumni Blvd,Sanford,Maine 04073",43.42132735,-70.74830716,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,Human Geography,Music Theory,Psychology,Psychology,Research,Seminar,U.S. Government and Politics,United States History,World History: Modern"
Sanford Regional Technical Center,"100 Alumni Blvd,Sanford,Maine 04073",43.42132735,-70.74830716,CTE,"Academy of Business,Automotive Collision Repair,Automotive Technology,Building Trades,Career Exploratory,Cosmetology,Culinary Arts,Digital Design,Early Childhood Education,Electrical Wiring,EMT,Engineering & Architectural Design,Engineering Technologies,Firefighting,Health Occupations,Information Technology and Networking,Landscaping & Horticulture,Law Enforcement,Plumbing,Precision Manufacturing,Video Production,Welding and Metal Fabrication"
Scarborough High School,"11 Municipal Drive,Scarborough,Maine 04074",43.5916811,-70.33644189,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Human Geography,Latin,Macroeconomics,Macroeconomics,Microeconomics,Microeconomics,Music Theory,Physics C: Mechanics,Psychology,Spanish Language and Culture,Spanish Language and Culture,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Schenck High School,"45 North St Suite 1,East Millinocket,Maine 04430",45.6275528,-68.5744751,High School,"Physics C: Mechanics,Statistics,Statistics,U.S. Government and Politics,United States History,United States History"
Searsport District High School,"24 Mortland Road,Searsport,Maine 04974",44.46194695,-68.92543399,High School,"Calculus AB,Calculus BC,English Literature and Composition,Physics 1,Physics 2"
Shead High School,"89 High Street,Eastport,Maine 04631",44.9073578,-66.98921144,High School,English Literature and Composition
Skowhegan Area High School,"61 Academy Circle,Skowhegan,Maine 04976",44.7506993,-69.7285772,High School,"Art History,Calculus AB,Calculus AB,Calculus BC,Computer Science A,Computer Science A,Computer Science Principles,Drawing,English Literature and Composition,European History,European History,French Language and Culture,Microeconomics,Physics 1,Physics 1,Spanish Language and Culture,Statistics,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern,World History: Modern"
So Aroostook School,"922 Dyer Brook Road,Dyer Brook,Maine 04747",46.07883112,-68.18532939,High School,"Biology,Computer Science A,Psychology"
Somerset Career and Technical Center,"61 Academy Circle,Skowhegan,Maine 04976",44.7506993,-69.7285772,CTE,"Automotive Technology,Career Exploratory,CNA,Commercial Truck Driving,Computer Science,Cooperative Education,Culinary Arts,Digital Graphics,Early Education & Teaching,Electrical Construction,EMT,Outdoor Leadership & Skills,Pre-Engineering,Residential Construction,Welding Technology"
South Portland High School,"637 Highland Avenue,South Portland,Maine 04106",43.62192585,-70.26832626,High School,"2-D Art and Design,Art History,Biology,Calculus AB,Calculus BC,Calculus BC,Chemistry,Computer Science A,Computer Science Principles,Computer Science Principles,Drawing,English Language and Composition,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,Macroeconomics,Microeconomics,Music Theory,Physics C: Electricity and Magnetism,Physics C: Mechanics,Psychology,Statistics,Statistics,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,United States History,World History: Modern"
Spring Harbor Academy,"123 Andover Road,Westbrook,Maine 04092",43.65343175,-70.34401365,High School,
Spruce Mountain High School,"33 Community Drive,Jay,Maine 04239",44.4936971,-70.19914961,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Computer Science A,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,Physics 1,Statistics,United States History"
Spurwink-Chelsea,"31 Spurwink Drive,Chelsea,Maine 04330",44.2568957,-69.759144,High School,
Spurwink-Lewiston/Auburn,"581 Sabattus Street,Lewiston,Maine 04240",44.1016225,-70.1849793,High School,
St Croix Regional Technical Center,"34 Blue Devil Hill Suite 1,Calais,Maine 04619",45.1889661,-67.2780626,High School,
St Dominic Academy-Auburn,"121 Gracelawn Rd,Auburn,Maine 04210",44.12738635,-70.23503203,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus AB,Chemistry,Chemistry,Drawing,English Language and Composition,English Literature and Composition,French Language and Culture,Macroeconomics,Microeconomics,Physics 1,Physics 1,Physics 2,Physics B,Psychology,Psychology,Psychology,Statistics,Statistics,Statistics,U.S. Government and Politics,United States History,World History: Modern"
St John Valley Technology Center,"PO Box 509 431 US Rte 1,Frenchville,Maine 04745",47.281092,-68.38028,High School,
Stearns Jr-Sr High School,"199 State Street,Millinocket,Maine 04462",45.66106295,-68.70587268,High School,"Calculus AB,Statistics"
Stillwater Academy,"84 Sylvan Rd,Bangor,Maine 04401",44.8280402,-68.7439618,High School,
Summit Achievement School,"69 Deer Hill Rd,Stow,Maine 04058",44.161026,-70.985413,High School,
Sumner Memorial High School,"2456 US Hwy 1,Sullivan,Maine 04664",44.5203554,-68.1966797,High School,"Art History,Art History,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science A,Computer Science A,English Language and Composition,English Language and Composition,English Literature and Composition,European History,European History,Microeconomics,Physics 1,Physics 1,Psychology,Psychology,Spanish Language and Culture,Statistics,Statistics,United States History,World History: Modern,World History: Modern,World History: Modern"
Telstar High School,"284 Walkers Mills Road,Bethel,Maine 04217",44.4057643,-70.7900436,High School,"2-D Art and Design,Biology,Calculus AB,Calculus AB,Chemistry,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Music Theory,Physics 1,Precalculus,Psychology,Psychology,Spanish Language and Culture,Spanish Language and Culture,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,World History: Modern"
The New School,"38 York St,Kennebunk,Maine 04043",43.3812474,-70.5458595,High School,
The School at Sweetser--Saco,"50 Moody Street,Saco,Maine 04072",43.51609535,-70.43351942,High School,
Thornton Academy,"438 Main Street,Saco,Maine 04072",43.5068674,-70.44277118,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Chinese Language and Culture,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Human Geography,Latin,Latin Literature,Macroeconomics,Microeconomics,Music Theory,Physics 1,Physics 2,Physics B,Physics C: Electricity and Magnetism,Physics C: Mechanics,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History"
Tri-County Technical Center,"14 Abbott Hill Road,Dexter,Maine 04930",45.02725795,-69.29547444,CTE,"Automotive Technology,Building Trades,Commercial Truck Driving,Computer & Information Systems Security,Computer-Aided Drafting & Design,Criminal Justice,Culinary Arts,Early Childhood Education,EMT,Energy Systems Technology,FIrefighting,Graphic Design & Communications,Health Occupations,Metals Manufacturing,Multimedia Production"
"Region 4,United Technologies Center","200 Hogan Road,Bangor,Maine 04401",44.8209041,-68.7411463,CTE,"Autobody & Collision Repair,Automotive Techonology,Business Leadership & Insurance,Carpentry,Health Occupations (Nursing),Construction Operations,CTE Exploratory,Culinary Arts & Hospitality,Diesel Mechanics,Digital Arts & Software,Educator Prep Program,Electrical,Electric Vehicle Technology,Emergency Medical Services,Law Enforcement,Medical Assisting,Natural Resources & Outdoor Recreation,Plumbing & Heating,Pre-Engineering,Small Engines & Outdoor Power Equipment,Video & Audio Production,Welding,Work Experience"
Upper Kennebec Valley Middle/Senior High School,"PO Box 649,Bingham,Maine 04920",45.058972,-69.88266,High School,"2-D Art and Design,Art History,Biology,English Literature and Composition,English Literature and Composition,Physics C: Mechanics,Psychology,Statistics,United States History"
Van Buren District Secondary Sch,"169 Main Street,Suite 102,Van Buren,Maine 04785",47.157506,-67.935333,High School,English Literature and Composition
Van Buren/M.S.A.D. #24,"169 Main Street,Suite 102,Van Buren,Maine 04785",47.157506,-67.935333,CTE,"Drone/Aviation,Green/Structural Technology,Pre-Engineering,Machine Tool,HVAC,Accounting I,Accounting II,Business Communications,Business Math,Principles of Marketing,Understanding Business,Machine Tool,Welding,Blueprint Reading/Drawing "
Vinalhaven School,"22 Arcola Lane,Vinalhaven,Maine 04863",44.0485628,-68.8216968,High School,"Calculus AB,Computer Science Principles,English Language and Composition,English Literature and Composition,French Language and Culture,Music Theory,United States History,World History: Modern"
"Region 7,Waldo County Technical Center","1022 Waterville Road,Waldo,Maine 04915",44.4545115,-69.0968835,CTE,"Auto Collision/Composites,Automotive Technology,Building Construction,Pre-Nursing/CNA,Computer Careers,CTE Exploratory,Culinary Arts,Diesel Technology,Electrical Technology,Employability Skills Program,Graphic Design,Mathematics,Small Engine Repair,Strive,Welding Technology,"
Washburn District High School,"1359 Main Street,Washburn,Maine 04786",46.79111325,-68.15085861,High School,
Washington Academy,"PO Box 190,East Machias,Maine 04630",44.739244,-67.3899904,High School,"Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,English Language and Composition,English Literature and Composition,European History,Latin,Music Theory,Physics 1,Precalculus,Spanish Language and Culture,Statistics,United States History"
Watershed School,"1 Free St.,Camden,Maine 04843",44.20932175,-69.06853985,High School,"Computer Science Principles,United States History"
Waterville Senior High School,"1 Brooklyn Avenue,Waterville,Maine 04901",44.55218135,-69.64284793,High School,"2-D Art and Design,3-D Art and Design,Art History,Art History,Biology,Calculus AB,Calculus BC,Chemistry,Comparative Government and Politics,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,English Literature and Composition,Environmental Science,European History,Macroeconomics,Macroeconomics,Microeconomics,Microeconomics,Music Theory,Physics 1,Physics B,Physics C: Mechanics,Pre-AP World History and Geography,Statistics,U.S. Government and Politics,U.S. Government and Politics,United States History,United States History,World History: Modern,World History: Modern"
Wayfinder Schools at Camden,"PO Box 555,Camden,Maine 04843",44.210265,-69.065552,High School,
Waynflete School,"360 Spring Street,Portland,Maine 04102",43.64599305,-70.27052869,High School,
Wells High School,"200 Sanford Rd,Wells,Maine 04090",43.31984205,-70.58965993,High School,"2-D Art and Design,3-D Art and Design,Art History,Biology,Calculus AB,Chemistry,Computer Science A,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,Physics 1,Physics B,Physics C: Mechanics,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics"
Westbrook High School,"125 Stroudwater Street,Westbrook,Maine 04092",43.6726889,-70.35542532,High School,"2-D Art and Design,Art History,Biology,Calculus AB,Calculus BC,Chemistry,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,Environmental Science,European History,French Language and Culture,Microeconomics,Music Theory,Physics 1,Physics 2,Physics B,Physics C: Mechanics,Psychology,Spanish Language and Culture,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Westbrook Regional Technology Center,"125 Stroudwater Street,Westbrook,Maine 04092",43.6726889,-70.35542532,CTE,"Automotive Technology,Building Trades,Business Education,Commercial Truck Driving,Computer Science & Multimedia,Computer Systems & Networking,Cosmetology,Criminal Justice,Culinary Arts,Early Childhood Occupations Education,Electricity,AMT,Firefighting,Heavy Equipment Operation,Medical Occupations"
Windham High School,"406 Gray Road,Windham,Maine 04062",43.7867628,-70.41339265,High School,"2-D Art and Design,3-D Art and Design,Biology,Calculus AB,Calculus BC,Chemistry,Computer Science A,Computer Science Principles,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,European History,European History,Human Geography,Latin,Macroeconomics,Macroeconomics,Microeconomics,Microeconomics,Physics 1,Physics 2,Physics B,Physics C: Mechanics,Psychology,Psychology,Spanish Language and Culture,Statistics,U.S. Government and Politics,United States History,World History: Modern"
Winslow High School,"20 Danielson Street,Winslow,Maine 04901",44.55053855,-69.61779703,High School,"Art History,Biology,Calculus AB,Calculus AB,Chemistry,Computer Science A,Computer Science Principles,English Language and Composition,English Literature and Composition,Environmental Science,European History,French Language and Culture,Macroeconomics,Microeconomics,Physics 1,Physics 1,Physics 1,Statistics,Statistics,U.S. Government and Politics,United States History,United States History,World History: Modern"
Winthrop High School,"211 Rambler Road,Winthrop,Maine 04364",44.3004699,-69.9850319,High School,"Art History,Calculus AB,Calculus BC,Calculus BC,Chemistry,English Language and Composition,English Literature and Composition,Latin,Latin,Psychology,Spanish Language and Culture,United States History"
Wiscasset Middle/High School,"272 Gardiner Road,Wiscasset,Maine 04578",44.02305425,-69.67184528,High School,"2-D Art and Design,3-D Art and Design,Biology,Chemistry,Computer Science Principles,Drawing,English Language and Composition,English Literature and Composition,Environmental Science,Macroeconomics,Microeconomics,Statistics,Statistics,United States History,United States History"
Wisdom Middle High School,"PO Box 69,Saint Agatha,Maine 04772",47.2430959,-68.3136517,High School,"English Language and Composition,English Literature and Composition,U.S. Government and Politics,United States History"
Woodland Jr-Sr High School,"14 First Avenue,Baileyville,Maine 04694",45.1520787,-67.40319719,High School,
